Crop Type,Season,Soil Type,Farm Size,Soil Ph,Soil Moisture (%),Rainfall (mm),Avg Temperature (°C),Irrigation Type,Fertilizer Used (kg),Pesticide Used (kg),Seed Quality,Farming Practice,Farmer Experience (years),Access to Credit,Govt. Subsidy Received,Expected Yield (kg per acre),Actual Yield (kg per acre),Yield Success
Rice,Rabi,Black,4.41,8,65.7,971.6,36.8,Rainfed,26,9.26,Hybrid,Conventional,31,1,1,2566,2791,1
Wheat,Rabi,Sandy,19.44,6,55.5,365.2,27.5,Sprinkler,44.8,1.84,Hybrid,Conventional,7,0,1,2107,2313,1
Rice,Kharif,Sandy,3.15,6.6,31.5,755.8,33.5,Drip,117.4,2.64,Local,Mixed,17,0,0,2857,2960,1
Cotton,Rabi,Clay,8.67,7.2,60,409.1,21.6,Flood,38.3,5.8,Hybrid,Conventional,35,1,0,364,312,0
Rice,Zaid,Black,15.02,6.4,57.4,1110.5,40.4,Flood,60.2,7.76,Hybrid,Mixed,37,1,0,3363,4436,1
Maize,Rabi,Silty,14.39,6.5,56.1,1186.5,27.2,Drip,13.3,6.38,Hybrid,Organic,18,1,1,2170,1650,0
Wheat,Kharif,Clay,9.03,6.2,49.4,337.5,35.5,Flood,53.7,2.71,Certified,Conventional,33,1,0,1515,1577,1
Wheat,Kharif,Silty,7.58,7,51.7,858,18.5,Drip,72.8,0.51,Hybrid,Mixed,4,0,0,2065,3810,1
Wheat,Zaid,Sandy,8.55,8,40.1,1259,22.9,Rainfed,114.8,7.69,Hybrid,Mixed,23,0,1,2241,1391,0
Rice,Kharif,Clay,6.02,5.7,51.2,1417,29.7,Drip,66.8,9.86,Certified,Organic,11,1,0,2204,2495,1
Cotton,Zaid,Loamy,4.9,8.3,31.9,867.6,39.1,Drip,100.1,8.19,Certified,Conventional,9,1,1,420,533,1
Sugarcane,Rabi,Loamy,10.18,7.4,68.3,1435.4,30.7,Drip,70.2,4.87,Certified,Conventional,30,0,0,35549,27114,0
Cotton,Zaid,Clay,6.1,7.9,31.1,896.4,40.3,Rainfed,14.5,9.09,Hybrid,Conventional,8,1,0,413,415,1
Sugarcane,Rabi,Black,6.46,6.9,25.1,712.4,29.6,Flood,44.7,4.39,Local,Mixed,5,1,1,35988,41235,1
Maize,Zaid,Black,13.48,7.7,46.2,1302.7,29.8,Rainfed,73.3,5.49,Local,Mixed,12,0,0,2729,1542,0
Cotton,Kharif,Silty,19.4,5.1,59.5,840.9,20.9,Sprinkler,114.6,5.03,Certified,Conventional,1,0,1,514,721,1
Rice,Rabi,Loamy,12.47,7.9,46.3,813.5,37.3,Sprinkler,104.5,4.75,Hybrid,Mixed,15,1,1,2751,2796,1
Rice,Kharif,Loamy,2.46,5.1,36.6,837.4,23.9,Sprinkler,35.1,7.86,Local,Conventional,25,1,0,2527,2176,0
Rice,Rabi,Silty,2.44,8.1,53.5,1300.8,39.6,Flood,34.2,5.5,Certified,Organic,18,0,0,2534,2053,0
Wheat,Rabi,Sandy,19.08,8.5,40.8,1281.5,39.9,Flood,32.1,3.51,Hybrid,Conventional,38,0,0,2401,2496,1
Wheat,Zaid,Clay,6.65,6,76,724.6,40.6,Flood,111.5,2.95,Local,Mixed,26,0,0,2555,1848,0
Rice,Zaid,Sandy,2.75,5.7,75.4,633.3,30.5,Sprinkler,103.8,0.86,Certified,Mixed,3,1,1,2292,2448,1
Sugarcane,Rabi,Black,12.38,7.7,50.1,839.5,34.3,Rainfed,95.2,6.04,Local,Conventional,22,0,0,38900,26217,0
Wheat,Kharif,Loamy,12.85,5.9,39.7,944.6,36.7,Drip,53.2,2.68,Local,Conventional,26,0,1,1506,2278,1
Rice,Kharif,Clay,13.32,8,64.2,509.8,21.1,Rainfed,65.5,1.91,Certified,Mixed,19,0,1,2956,2740,0
Wheat,Rabi,Silty,6.08,5.4,22.2,1232.1,32.4,Drip,61.1,6.71,Certified,Conventional,39,0,0,2916,2454,0
Rice,Kharif,Loamy,1.29,5.4,48.5,832.4,18.8,Flood,37.9,6.97,Certified,Conventional,36,1,1,2605,3309,1
Sugarcane,Kharif,Loamy,19.34,8.4,40.2,634.3,29.9,Sprinkler,65.6,7.65,Certified,Mixed,21,0,1,27473,22872,0
Rice,Kharif,Clay,5.77,7.4,75.2,338.9,21.7,Flood,13.4,5.28,Hybrid,Mixed,26,1,1,3152,3143,0
Cotton,Kharif,Loamy,13.84,8,20.7,510.5,22.4,Flood,24.5,8.99,Hybrid,Conventional,13,1,1,430,493,1
Sugarcane,Kharif,Silty,14.43,6.1,53.2,1434.1,26.8,Flood,107.5,9.4,Certified,Conventional,36,0,1,34014,40346,1
Rice,Kharif,Sandy,12.59,7.4,64.4,596.6,28.4,Flood,92.7,8.17,Local,Conventional,24,0,1,3124,3202,1
Rice,Kharif,Loamy,6.95,7.1,49.1,419.5,33,Flood,56.5,6.54,Hybrid,Organic,26,0,1,2190,2279,1
Sugarcane,Kharif,Black,6.15,7.1,25.1,798.9,19.8,Flood,66.9,3.39,Certified,Mixed,21,1,0,39101,37155,0
Maize,Zaid,Black,12.36,7.4,78.3,599.2,30.1,Rainfed,50.7,9.84,Certified,Conventional,18,1,0,2869,2871,1
Maize,Kharif,Black,17.46,7,51.1,245.7,22.4,Sprinkler,91.5,3.1,Hybrid,Mixed,15,0,0,3069,2197,0
Sugarcane,Kharif,Loamy,18.99,6.5,56.9,620.1,31.8,Flood,96.3,2.43,Hybrid,Organic,15,1,0,31040,39959,1
Rice,Rabi,Loamy,3.01,6,34.2,907.3,33.3,Flood,94,4.7,Certified,Conventional,6,0,1,3324,2895,0
Wheat,Kharif,Black,3.94,7.7,49,917.2,31.4,Sprinkler,89.5,1.04,Certified,Organic,31,1,1,2077,1344,0
Rice,Zaid,Silty,18.95,5.8,45.7,663.5,35.7,Flood,32.5,9.8,Local,Mixed,28,0,1,3127,1768,0
Sugarcane,Rabi,Clay,14.99,7.4,24.5,781.5,26.1,Sprinkler,47.2,6.09,Local,Conventional,8,1,0,35193,36382,1
Maize,Kharif,Clay,17.78,5.8,26.4,1455.2,36.4,Drip,61.7,5.79,Certified,Conventional,29,0,0,2034,3040,1
Wheat,Kharif,Loamy,4.85,7.2,70.2,690.6,28.4,Sprinkler,46.4,6.73,Hybrid,Organic,21,0,0,2301,1678,0
Rice,Zaid,Black,12.16,7.6,34.4,535.7,29.6,Drip,93,5.22,Hybrid,Conventional,17,1,1,2111,4630,1
Wheat,Zaid,Sandy,14.32,5.8,31.7,516.5,33.6,Flood,46.2,0.8,Hybrid,Organic,24,0,1,1707,3207,1
Wheat,Rabi,Loamy,13.92,5.2,50.3,795.1,18.4,Flood,25.2,6.32,Hybrid,Conventional,36,0,0,1719,3615,1
Maize,Rabi,Clay,8.75,5.5,66.1,1187.4,33.7,Rainfed,53.9,7.3,Local,Conventional,31,0,1,2251,3225,1
Maize,Kharif,Silty,1.29,7.1,23.7,467.8,32.8,Flood,117.8,4.46,Hybrid,Conventional,34,0,0,2670,2959,1
Sugarcane,Zaid,Black,12.08,8,54.6,1122.1,25.4,Drip,34.8,7.69,Hybrid,Conventional,2,1,0,39162,40889,1
Wheat,Kharif,Loamy,5.81,5.2,27.2,227.5,20.1,Rainfed,77.3,2.66,Hybrid,Conventional,3,1,0,2450,2198,0
Rice,Zaid,Silty,9.55,7.6,22.2,744.6,20.2,Rainfed,57.6,2.6,Local,Conventional,30,1,0,3231,1504,0
Maize,Rabi,Black,19.19,6.2,23.2,1208.6,40.2,Flood,17.8,2.03,Local,Conventional,8,1,0,2824,2213,0
Sugarcane,Rabi,Loamy,8.58,6.7,70,640.4,34.5,Flood,63.7,4.03,Certified,Organic,7,1,0,38848,25713,0
Maize,Rabi,Sandy,16.96,8.3,27.1,932.9,21.1,Rainfed,87.2,8.55,Certified,Mixed,12,0,0,1831,1747,0
Sugarcane,Kharif,Loamy,4.58,6.2,22.7,466.5,26.6,Flood,66.5,8.37,Hybrid,Conventional,19,1,1,28097,36801,1
Wheat,Kharif,Silty,13.78,6.6,46.3,1164.6,32.2,Rainfed,105.9,4.14,Certified,Organic,26,1,0,2052,2624,1
Wheat,Kharif,Sandy,19.56,5,70.6,268,38.1,Drip,41.8,6.1,Hybrid,Organic,28,1,0,2877,3781,1
Wheat,Kharif,Sandy,2.94,5.3,35.7,1308.3,19,Drip,19.5,7.35,Local,Mixed,15,0,1,2193,3176,1
Rice,Rabi,Silty,1.16,5.9,45.3,457.7,23.7,Flood,113,2.79,Hybrid,Mixed,14,0,1,2047,3086,1
Rice,Kharif,Loamy,9.24,5.1,22.4,1336.7,39.4,Flood,51.6,2.1,Local,Conventional,14,1,1,3338,1866,0
Rice,Kharif,Black,2.76,7.2,46.9,658.3,18.2,Rainfed,73.4,9.73,Certified,Conventional,3,0,0,2874,2707,0
Maize,Zaid,Sandy,15.22,6.5,54.7,1139.5,22.8,Rainfed,97.1,6.37,Local,Conventional,29,1,0,3010,2070,0
Wheat,Zaid,Clay,18.38,6.9,54.3,615,41,Sprinkler,45.7,9.82,Local,Mixed,6,0,1,1568,1698,1
Wheat,Zaid,Silty,9.25,5.6,39.9,1377.7,32.7,Drip,88.8,3.71,Hybrid,Mixed,23,0,1,2808,2616,0
Cotton,Zaid,Silty,5.92,6,38.9,364.6,24.3,Rainfed,24.9,7.18,Hybrid,Conventional,28,1,0,352,679,1
Rice,Kharif,Loamy,9.25,7.3,26.4,432.1,19.6,Flood,42,2.61,Certified,Mixed,14,0,0,3070,3117,1
Wheat,Kharif,Black,14.75,8.4,42,840.9,18.7,Drip,25.9,2.98,Local,Mixed,14,0,0,2022,3321,1
Sugarcane,Rabi,Black,1.17,5.2,26,306.5,23.9,Flood,99.2,5.36,Hybrid,Conventional,20,1,1,36628,42593,1
Rice,Rabi,Loamy,12.2,8.1,66,454.8,39.2,Flood,34.5,3.54,Certified,Conventional,13,0,0,3171,2517,0
Rice,Kharif,Black,12.65,7,78,1426.9,28,Rainfed,88.9,2.09,Hybrid,Organic,27,1,0,2811,1693,0
Rice,Rabi,Clay,13.12,7,78.2,1469.4,35.3,Flood,113.8,3,Hybrid,Organic,35,1,1,3447,1907,0
Rice,Kharif,Loamy,5.6,6.8,71.9,689.1,40,Sprinkler,68.1,0.84,Certified,Mixed,2,1,1,2028,3248,1
Cotton,Kharif,Clay,14.57,5.2,56,1400.3,27.8,Rainfed,69.4,7.19,Certified,Conventional,24,1,1,587,325,0
Sugarcane,Rabi,Black,2.74,5.3,62.1,908.3,22.6,Flood,60.7,5.18,Hybrid,Mixed,29,1,1,36655,23184,0
Maize,Rabi,Silty,4.79,7.1,37.1,550.7,30.4,Flood,45.8,1.4,Hybrid,Mixed,3,0,0,1854,2516,1
Sugarcane,Rabi,Clay,17.67,6.2,57.8,1113.1,39.8,Sprinkler,62.3,2.13,Local,Organic,4,1,1,33503,32117,0
Sugarcane,Kharif,Loamy,15.04,8.2,47.3,1056.6,37.3,Flood,76.3,1.47,Local,Conventional,2,1,1,34148,26354,0
Rice,Zaid,Sandy,1.26,6.4,48.9,1485.9,19.6,Sprinkler,118.5,6.32,Hybrid,Mixed,20,1,0,2756,3094,1
Sugarcane,Kharif,Clay,5.72,5.5,65.5,544.6,34.6,Drip,113.2,1.39,Local,Mixed,15,0,1,27747,36684,1
Wheat,Kharif,Black,5.07,7.5,36.9,1073.7,31.7,Flood,104.8,7.67,Hybrid,Mixed,32,0,0,2593,2246,0
Sugarcane,Zaid,Black,6.15,6,39.1,267.6,39.8,Sprinkler,107.8,0.69,Hybrid,Conventional,1,0,1,27101,37283,1
Sugarcane,Zaid,Sandy,5.7,6.8,75.5,347.7,20.9,Flood,61.5,2.87,Certified,Conventional,38,0,0,39049,42900,1
Wheat,Zaid,Black,2.19,7.4,23.4,205.1,30.8,Drip,82.3,8.96,Hybrid,Conventional,35,0,1,2958,3526,1
Rice,Rabi,Loamy,9.72,8.2,49.1,1499.3,39.1,Flood,108.5,7.33,Hybrid,Mixed,7,0,0,2365,4595,1
Rice,Rabi,Black,14.92,7.8,74.8,1243,27.8,Sprinkler,53.2,1.19,Certified,Conventional,13,0,0,3182,2341,0
Wheat,Rabi,Silty,12.53,7.4,56.6,1222.7,29.6,Drip,115.8,8.3,Hybrid,Mixed,1,1,0,2878,2145,0
Sugarcane,Kharif,Sandy,13.78,7.4,52.8,862.6,19.7,Drip,55.7,5.18,Local,Conventional,14,1,0,32572,32543,0
Sugarcane,Kharif,Clay,2.54,8.3,35,590.1,24.7,Rainfed,76.1,8.54,Hybrid,Mixed,29,0,0,25974,33443,1
Rice,Kharif,Black,19.08,6,40.6,396.6,25.8,Rainfed,88.1,6.21,Hybrid,Conventional,3,1,1,2575,3363,1
Wheat,Kharif,Loamy,16.93,5,71.1,570.1,40.7,Sprinkler,114.6,6.98,Local,Conventional,24,1,0,2811,1800,0
Wheat,Rabi,Clay,16.3,6,53.6,688.8,24.8,Rainfed,36.9,9.94,Local,Conventional,1,0,0,2158,2370,1
Rice,Rabi,Clay,16.64,5.8,50.9,1183.2,29.1,Flood,92.1,2.71,Certified,Conventional,10,0,0,2003,3201,1
Rice,Kharif,Sandy,18.72,7.3,26,901.6,34.1,Rainfed,67.3,6.43,Certified,Conventional,13,1,1,3284,2752,0
Wheat,Kharif,Sandy,11.34,7.2,21,300.7,21.9,Sprinkler,39.5,4.87,Hybrid,Organic,36,0,1,2740,2214,0
Cotton,Rabi,Silty,4.81,7.1,77.8,223.4,29.7,Flood,95.4,0.87,Hybrid,Organic,9,0,0,343,383,1
Wheat,Kharif,Black,12.72,5.1,42.6,333,35.7,Drip,70.7,0.64,Certified,Conventional,14,0,1,2278,2587,1
Wheat,Zaid,Clay,15.11,7.6,56.2,733.6,38.8,Sprinkler,82.7,1.63,Certified,Mixed,36,0,1,2769,1652,0
Maize,Rabi,Silty,15.02,6.1,24.8,1413.2,33,Rainfed,45.5,6.67,Local,Conventional,10,0,1,2183,2780,1
Wheat,Rabi,Clay,10.91,7.3,61,1028.6,34.1,Flood,62.9,5.89,Hybrid,Organic,23,1,0,2595,2616,1
Cotton,Rabi,Black,2.3,6.9,76,1242.4,21,Sprinkler,77.9,5.76,Local,Mixed,35,1,0,312,505,1
Cotton,Rabi,Black,8.05,6.2,54.5,806.3,40.7,Drip,54.5,0.8,Local,Conventional,7,1,0,538,654,1
Rice,Kharif,Sandy,18.49,5.5,27.6,670.2,21.2,Flood,31.8,4.96,Local,Mixed,35,0,1,2016,2852,1
Wheat,Rabi,Silty,12.1,5.3,54.9,340.9,36.6,Flood,115.8,9.28,Certified,Conventional,2,0,1,2191,3117,1
Wheat,Rabi,Loamy,11.23,7.9,66,1338.7,24.4,Sprinkler,66.3,4.28,Local,Organic,15,0,1,1607,3433,1
Rice,Kharif,Loamy,6.11,8.2,44.4,1218.1,40.4,Rainfed,90.7,6.44,Certified,Conventional,9,1,0,2628,2799,1
Rice,Zaid,Black,8,7.3,72.8,418.6,35.3,Drip,55.2,7.91,Hybrid,Conventional,17,0,0,2936,2353,0
Maize,Rabi,Loamy,18.01,5.4,58.9,865.9,36.1,Sprinkler,49.1,7.95,Hybrid,Organic,39,1,1,1924,4072,1
Wheat,Rabi,Loamy,13.66,6.4,74,833.6,23.3,Rainfed,54.8,5.43,Certified,Organic,18,1,0,1979,3263,1
Rice,Zaid,Loamy,15.96,7.6,57.4,1012.6,28.6,Sprinkler,55,8.65,Local,Organic,15,1,0,2480,2421,0
Rice,Zaid,Black,9.63,7.7,27.9,1430,32.8,Sprinkler,69.9,4.22,Local,Conventional,18,1,1,2330,2940,1
Cotton,Rabi,Loamy,12.97,5.4,38.6,953.7,36.5,Flood,69.8,8.94,Certified,Conventional,24,0,1,424,500,1
Rice,Rabi,Clay,5.72,5,32.1,902.3,20.5,Rainfed,64.7,2.78,Hybrid,Conventional,23,1,0,2142,3965,1
Rice,Rabi,Silty,14.4,7.5,74.5,265.4,41.1,Drip,24.8,3.16,Hybrid,Organic,12,1,1,2376,1837,0
Wheat,Rabi,Black,9.12,6.2,65.6,281.8,39.4,Rainfed,64.6,1,Hybrid,Conventional,23,0,0,2565,3243,1
Cotton,Rabi,Clay,9.41,5.9,60.6,443.6,24.5,Rainfed,28.6,8.06,Local,Conventional,21,1,0,340,474,1
Rice,Rabi,Loamy,13.34,5,38.1,242.2,37.7,Drip,23.9,4.46,Certified,Conventional,26,1,0,2805,3381,1
Maize,Kharif,Clay,18.79,6.9,31,1166.4,30.4,Flood,112.6,2.68,Local,Organic,8,1,0,2191,2818,1
Sugarcane,Zaid,Loamy,2.22,8,65.4,1140.3,29.1,Sprinkler,76.5,2.7,Certified,Organic,30,1,0,38654,47796,1
Rice,Zaid,Loamy,16.67,8.4,48.4,376.9,25.5,Flood,82.5,9.06,Hybrid,Conventional,34,1,0,2488,4313,1
Maize,Kharif,Silty,6.56,7,33.5,1286.9,31.9,Rainfed,54.2,8.42,Hybrid,Organic,2,1,0,3032,3640,1
Wheat,Rabi,Silty,9.43,6.8,57,401.2,35.5,Rainfed,110,5.76,Certified,Conventional,5,0,0,2865,1844,0
Maize,Kharif,Sandy,1.42,5.3,22.4,591.5,27.9,Drip,80.2,6.35,Certified,Conventional,31,1,1,3075,3718,1
Maize,Kharif,Loamy,6.72,6.9,39.6,523.7,33.1,Flood,94.6,5.01,Local,Conventional,33,1,1,2825,3835,1
Wheat,Rabi,Black,10.55,6.3,48.1,684,34.8,Flood,50.5,4.22,Local,Conventional,4,0,0,1967,3084,1
Rice,Kharif,Loamy,2.07,7.1,28.9,531.1,35.1,Sprinkler,115.6,9.2,Certified,Conventional,6,1,0,3275,3870,1
Sugarcane,Rabi,Black,10.33,6.4,79.1,835.6,19.2,Sprinkler,100.3,1.69,Hybrid,Conventional,23,0,1,32321,46439,1
Wheat,Rabi,Sandy,18.62,5.8,32.5,729.6,38.6,Drip,103.9,4.48,Certified,Mixed,19,1,1,2085,3055,1
Rice,Rabi,Clay,3,5.3,27.8,1482.5,29,Flood,28.9,3.77,Certified,Mixed,8,1,0,2004,3840,1
Rice,Kharif,Silty,15.52,6.1,32.2,272.7,24.3,Flood,39.8,5.23,Hybrid,Conventional,39,0,1,2213,3355,1
Maize,Kharif,Loamy,8.78,5.3,66.1,384.8,23.8,Drip,41.4,4.85,Certified,Conventional,13,1,0,2362,1591,0
Maize,Rabi,Silty,13.45,5.6,45.5,268.7,29.6,Rainfed,39.8,5.43,Local,Conventional,1,1,0,3010,2693,0
Rice,Zaid,Clay,5.94,8.5,53.9,1013.6,39.3,Rainfed,104.1,1.83,Hybrid,Mixed,6,0,0,2720,2162,0
Wheat,Rabi,Clay,4.03,6.6,21.3,270.9,27.1,Flood,13.5,5.37,Local,Organic,7,1,1,1745,2965,1
Rice,Kharif,Black,4.05,6.9,22.1,1287.4,36,Sprinkler,18.4,2.8,Hybrid,Mixed,27,0,1,2551,1748,0
Maize,Rabi,Loamy,2.34,8.1,46.7,865.5,20.3,Flood,40.1,2.25,Local,Conventional,15,0,1,1978,2867,1
Rice,Rabi,Black,4.53,8.5,69,885.1,29.4,Sprinkler,32,1.12,Hybrid,Conventional,34,1,1,2671,2751,1
Maize,Rabi,Loamy,13.62,7,73.1,930.1,41.8,Sprinkler,35.5,7.75,Hybrid,Organic,23,0,0,2625,2864,1
Wheat,Kharif,Sandy,17.75,7.8,25.2,422.1,36.5,Flood,97.8,4.56,Local,Conventional,24,1,0,1678,1697,1
Cotton,Rabi,Silty,16.47,6.1,52.3,457,23.1,Drip,71.9,6.45,Hybrid,Conventional,15,0,1,421,383,0
Rice,Rabi,Sandy,14.02,6.1,74.8,614.5,30,Drip,10.6,7.41,Certified,Organic,35,0,1,2024,4060,1
Wheat,Zaid,Loamy,3.1,6.4,43.3,971.5,23.6,Drip,57.2,6.95,Hybrid,Conventional,4,0,1,1729,3244,1
Rice,Kharif,Loamy,6.49,7.4,69.8,473.2,27.8,Drip,54.9,4.97,Local,Mixed,37,1,0,3226,3702,1
Cotton,Rabi,Clay,6.89,7.4,28,351.2,36.7,Drip,22.5,4.19,Local,Conventional,17,0,0,521,295,0
Sugarcane,Zaid,Loamy,5.75,6.1,76.1,1461.2,36.5,Rainfed,84.4,4.07,Hybrid,Conventional,31,1,0,33162,45759,1
Rice,Kharif,Silty,10.79,5.5,65.1,228.6,23.5,Sprinkler,87.2,6.58,Hybrid,Organic,38,1,0,2869,2758,0
Maize,Zaid,Black,11.18,7.2,76.5,1243.5,40.1,Drip,89.3,5.2,Local,Mixed,10,0,0,2130,3407,1
Sugarcane,Rabi,Black,7.78,5.4,60.6,1224.4,32.2,Sprinkler,90.1,8.57,Certified,Mixed,27,1,0,29549,38415,1
Maize,Kharif,Silty,7.72,7,41.8,586.4,27.1,Rainfed,10,8.81,Hybrid,Conventional,6,0,1,1910,2336,1
Wheat,Kharif,Silty,16.74,7.4,76.3,376.3,30,Flood,114.9,2.12,Certified,Conventional,6,1,0,2732,3411,1
Rice,Rabi,Silty,16,7.5,36.5,389.3,32.5,Sprinkler,99.6,1.79,Hybrid,Conventional,15,0,1,2106,4320,1
Rice,Kharif,Loamy,6.85,7.6,39.9,1106.7,31.4,Rainfed,109.4,6.49,Hybrid,Conventional,4,1,0,3245,3137,0
Sugarcane,Rabi,Black,18.36,8.1,62,1035.6,29.7,Sprinkler,11.7,3.36,Certified,Conventional,7,1,1,25166,31520,1
Cotton,Kharif,Silty,19.1,6.7,65.9,1217.6,30.1,Sprinkler,112.7,0.68,Certified,Mixed,26,1,0,334,648,1
Maize,Rabi,Sandy,7.21,7.6,75.8,1418.7,22.2,Sprinkler,99.1,8.94,Hybrid,Conventional,31,0,1,2615,2373,0
Wheat,Kharif,Clay,7.73,7.2,32.3,1099.5,37.5,Sprinkler,102.1,2.66,Certified,Conventional,2,1,0,2624,1838,0
Wheat,Zaid,Loamy,10.61,5.7,67.9,402.6,31,Sprinkler,20.3,9.33,Certified,Conventional,28,0,1,2075,3649,1
